X1,Reviews,Date
11,"This movie is so masterfully written and presented with a large cast that older audiences will realize how rare movies like this have become. Its enjoyment comes from getting to know the members of two extremely different families, one very poor, the other very rich. How their lives come together is the wickedly enjoyable first half; then, in the second half the house of cards begins to shake and finally collapse with a fury we both dread - and perhaps even enjoy. Though our enjoyment probably has as much to do with the movie-making skills than with the nasty turn of events in the violent final scenes.
If you see only one foreign language film this year, this should be it. Exciting and provocative throughout, it is wonderfully acted and packed with significance for all who live in a polarized society where so many live in luxury, while others live in comparative squalor just a few blocks away. Deserves all the accolades it has already - and surely will continue - to receive.",4 November 2019
12,Most of the time when my opinion does not jibe with the majority I am confident in my assessment. With this one I am not so sure for some reason. That being said I think it is ridiculously overrated. I just really did not find it to be anything special. I thought the Japanese movie shoplifters was infinitely better.,9 February 2020
13,This is a well written and well perfomed original film. With a lot of repetitive cinema these day i felt this was something new. I felt connected and engaged with the character throughout the film. There are several well directed tense moments throughout the film. A popular topic of class struggled well portrayed. Its always nice to see foreign language films having worldwide success.,12 January 2020
14,"Finally saw this much talked about film. As a fan of Korean thrillers, this film surpassed my expectations.
The film is about a poor family who cleverly n cunningly become employed by a wealthy couple, posing as unrelated, highly qualified individuals.The film begins like a dark satire, it then proceeds into a captivating thriller n ends like a surreal crime, more of a social phenomenon.The film is very entertaining inspite of the sad stuff shown about poor fellas n not at all demeaning. It is very gripping n weirdly hilarious.",4 February 2020
15,"As a film about a family imposing on another, and keeping dark secrets hidden beneath the surface, Parasite achieves what Jordan Peele set out to do with Us: tell a multi-layered story in a widely entertaining manner, but without sacrificing the believability of its central narrative.That's not to say that Us is an ineffective film by any means, but when it comes to crafting weighty social commentaries under the guise of lighter fare, writer-director Bong Joon-ho is in a class of his own.The film follows a lower-class South Korean family as they slowly integrate themselves in the lives of an upper-class family and their lavish household. As their entanglement is spun out of a web of deceit, the lowly family find themselves skating on thin ice when it comes to keeping up appearances.It's a twisty satire on social-economic disparities in South Korean society that swings broadly in tone, and sometimes threatens to tip over the edge, but never feels less than meticulously calculated in its tonal shifts.However, to reveal anything more about the story would be to take away from the overall experience, as each act is marked by a major plot twist or revelation that keeps the film one step ahead of the viewer at all times. Go in blind if you can and expect an unforgettable ride.",2 July 2019
16,"The Oscar fever has started and it is my favourite time of the year where I get to watch the films which is engaging, clap-worthy, entertaining and relatable.
Parasite was already in buzz for sometime which caught my attention and to my surprise turned out to better than expected after seeing it.Parasite tells the story of differences in the mindset between the Upper class and Lower class families which is very much existing in our society.
As the name of the film itself, the movie gives a detailed account of how an unemployed family is influenced by the lifestyle of a wealthy rich family and eventually enters into their house
only to get the shock of their life.Directed by Bong Joon Ho, who made Snowpiercer and Okja, Parasite boast off characters which you can easily relate to. A poverty driven family comprising of
a struggling father, Kim, and mother, tech savvy son and a careless sister - who goes the wrong path to enter the house of a rich family but ultimately face the consequences.
The film slowly and eventually picks up as each member from the poor family starts getting the job in the house of rich, by falsely accusing the old staffs. The main
drama unfolds when the rich guys go for a vacation and the Kim's family take over the house and celebrate their win. However, they meet with an unfortunate incident when one of the
old staff comes back which changes their plan completely. This is where the film kicks-off when the rich guys cut short their trip and plan to come back which leads
to series of uninvited events, leading to more excitement and thrills you never expected.If you go the wrong way, you have to face the consequence and that is what the director Bong Joon Ho showed in his film when Kim's loses one of his family member
and ultimately face the redemption. Hats of to Bong Joon Ho for creating a beautiful drama with relatable characters, humorous situations and a powerful storyline with a strong message.
There are couple of scenes which is executed brilliantly - when two staff families meet at the basement, the flood scene depicting the behavior of Kim's family - Kim picking
up in stuff, son grabbing his favourite stone and daughter lighting her cigeratte even though the house is in mess. The beauty of cinema lies in the story-telling
and this is where Parasite scores.Technically, Parasite has a wonderful background score with lovely cinematography. Editing is superb, though I felt few scenes could have been trimmed. Art direction
is brilliant while dialogues are outstanding. Performances wise - I felt all the actors played their part while but if I had to pick up, my favourite would be
Kang-ho Song, who plays the role of father of the unemployed family.Parasite is nail-biting and intense thriller that is going to give you goose bumps. Brilliant 4/5",11 January 2020
17,"We find the prosperous Park family to be the occupants of a slick, scando-sheek home in Seoul, Korea.
Mr Park is a fantastic provider for his family; in quintessential Korean fashion; as a tech entrepreneur. His wife and two children seem not to be in want of anymore than they already have. Despite this, his family are precariously vulnerable to social exploitation. His youngest son, who 'saw a ghost', is now subject to seizures. His daughter is a hopeless English language student who only sees her tutor classes as an opportunity to get a boyfriend. Finally his wife is highly impressionable and not fully competent to tackle the issues of her two children.
In addition to whatever jobs he has created at work, Mr Park employers a driver, housemaid and English tutor for himself, his daughter and his wife respectively. All of these seem to be happy in their employment.The Kims are another family of four but, for reasons we are not sure of, live in very basic accommodation in a poor part of the city. None of the family have solid jobs but it is not explained whether this is due to fecklessness or sheer bad luck despite best efforts. Lack of ability seems unlikely in their case as we see that they are very clever, albeit in a Machiavellian way. For example, they are happier to trick their way into getting paid for doing a bad job then actually folding the pizza boxes correctly.The English tutor at the Parks home recommends to the son of the Kims to temporarily replace him as tutor to the daughter of the Parks on the one condition that he leaves her alone for him to ask out when he returns.
This soon snowballs into all members of the Kim family shamelessly exploiting the Park family and their employees.
Their crimes are as follows:Forging an official university document and using it to gain employment.Exploiting and encouraging the mis-diagnosed mental illness of a young boy.Getting two people fired by destroying their reputations.Stealing food and alcohol.Murdering Mr Park because he didn't like the smell of a man who:Lived underground for 4 yearsHad a barbecue sword of meat sticking out of himWas deadThe Parks weren't perfect but nowhere did they claim to be. What they were was a respectable family who contributed to society in a positive manner.
The Kims were a clever but immoral family who continually made bad decisions at key moments, bringing their downfall on themselves.Unfortunately the parasite was so entrenched that once its downfall became the downfall of the host.",9 February 2020
18,You will experience twist after twist while watching this movie. It contains very mild but catchy dark humour. Some scenes will create cold waves inside your lumbar spine. You will be thinking the ways to get rid of the troubles along with the characters of the movie.,31 January 2020
19,"First impressions: A striking contrast between the visual ambiance (smooth or pastel colors, cute) and the story (super dark).It kind of recalled me A Clockwork Orange somehow. The dark humor, manipulations, the underlying terror settling in, the sudden violence, the social questioning.",22 February 2020
20,"I'm sure I'm not the only one to see the similarities - which is not meant as a negative comment in any way ... if anything I hope it leads to an Inside no. 9 film - that said - I seem to remember the League of Gentlemen film being a bit crap even though I loved the TV series.Parasite keeps you interested from start to finish with great comedy, great characters, great twists & turns, great cinematography during the flood sequences and I especially enjoyed seeing the contrast between living standards in South Korea.So many good things to enjoy like the impression of a North Korean news anchor, dark humour. My favourite character was probably the father but I loved them all for different reasons.Definitely going to seek out more Asian films now.",12 February 2020
21,"Parasite (Gisaengchung), the 2019 film by Bong Joon-ho, taps into the tensions caused by the widening gap between rich and poor around the world.The film, delivering a strong social commentary that can be interpreted at a universal level, follows two families on opposite sides of the social and financial totem pole. It is a darkly entertaining and suspenseful look at a poor but incredibly cunning family living in a filthy basement and the rich Park family, the polar opposites of our protagonists. The film makes you play a guessing game of which of the two families are the most rotten.Winner of the Palme d'Or at the 2019 Cannes Film Festival, Parasite shows the extent to which we go to in order to live a comfortable life. The devil is in the detail in this grotesque critique of social inequality and the psychology of money.",26 May 2019
22,"The film is ok but that's as far as I go. It's worth a watch but only a score of 6 for me. It's not a masterpiece, it's not film of the decade it's not even film of the year. I don't understand how people can give it 10, 10 is a perfect score. 10 is unachievable in my opinion as nothing is perfect.",7 January 2020
23,"So happy i managed to see this movie with NO IDEA what was to come, though the trailers were a strong indication of what was to come. I wish i didn't have to rely on subtitles, knowing there are many subtleties you miss with limited translation.
Ater some time for reflection, this movie reminds me of 'shoplifters,' another excellent movie that reflects on unconventional familial love.",24 January 2020
24,"Exceptionally written, ingeniously directed, and profoundly acted, PARASITE is a masterpiece of its own. This cleverly layered and twisted film is a social commentary about class division that seemingly tied into a perfectly paced and balanced multi genre that is packed with metaphors, implied messages, and symbols. PARASITE is an accomplishment for cinematic storytelling and world cinema that engross, surprise, and shocks.",24 January 2020
25,Never enjoyed and kept my eyes glued to a movie for quite some time. Enjoyably thrilling.,2 February 2020
26,"Well what can I say, Boong Joon-Ho is truly delivering here a masterpiece of cinema screenwriting and directing. This is an interesting, humorous and intense experience surely not to miss.You forget this is even a Korean film as you get vacuumed into a world of it's own - you won't be disappointed!!",22 January 2020
27,"There is no shortage of films that depict the injustice of social inequality but originality is scarce. With a large proportion of its population below the poverty line, it is noteworthy that a filmmaker from South Korea has produced a work that has attracted almost universal acclaim. Parasite (2019)generates a great deal of conversation but be warned: it is not a film for everyone, especially those averse to gory endings.If you step back from the story's twists and turns, the narrative premise is simple. A family of petty crooks living in abject poverty get lucky as, one by one, each tricks their way into being employed by the same heartlessly wealthy family in roles like tutor, driver, and housekeeper. The gullible family is easy to deceive, while the crooks manufacture various scenarios to their own advantage. The occupation of the luxurious home by the crooks adds a new meaning to the concept of home invasion. However, the plan comes un-stuck when they find a secret dungeon that leads to horrific consequences.The film takes too much time in developing the central premise and various sub-plots, and more descriptive prose could be offered here about what actually happens. But that is not the point of the film. Director Joon-ho Bong paints an intricate portrait of the normalisation of poverty and class privilege, with both sets of family never questioning their place in South Korea's social order. This acceptance and its destructiveness of the human spirit makes change impossible and condemns Korean society to moral bankruptcy.There is more to this film than political discourse. As a black comedy, it is sprinkled with funny although improbable moments and the filming style expresses the polemic in obvious ways. Juxtaposing the world occupied by a smelly cramped underclass with the opulent world of the rich is low-hanging fruit. One can also find elements of magical fantasy, as it requires an unequivocal suspension of disbelief to accept that a family of losers can so easily dupe a family of high achievers. The acting tends towards wooden, and it is difficult to warm to any particular character. The film's climax offers little other than an ambivalent balance between hope and nihilism, leaving viewers to decide which family are the parasites.For many, the critical pendulum swings towards the 'masterpiece' label. But it is perhaps closer to reality to describe this as an original, engaging, and disturbing tale of endemic class tension, oppression, and helplessness. Although tenuous, the message has universal relevance.",28 December 2019
28,"What an amazing film! Clearly an essay on the class divide. Writing lovable but nasty people is tough, but perfectly executed here.They quite clearly cross the line, and when I mean ""they"" I mean bother the working class and the upper class.
You could easily argue that ""parasite"" refers to one family trying to suck another family dry. Or that the upper class is draining the labour of the lower class, and expecting them to be grateful about it too!
There is also something about the American Indian theme, a metaphor for dying cultural traditions which are being replaced by modernity? Nature is dog eat dog? Or is it a homage to an ""idyllic"" past where Native American culture was relatively classless?Either way a must watch if you can handle subtitles!",17 August 2019
29,"Here's how i rate a movie the fast way, i ask myself two questions.
Who am I gonna recommend this movie to ?
Am i gonna remember this movie a year from now ?Beside the somewhat chaotically random events happening in the movie, Parasite wants to be way too many things at the same time, a deep serious movie with a message, a comedy, a drama, and a thriller, the mixture left me feeling confused and not really sure what to feel once it ended.It wasn't too bad, some scenes were super intense and enjoyable for thriller lovers. But I don't see myself recommending it to anyone who wants all these genres crammed in a single movie, nor do I feel anything from the story was amazing enough to stick with me in the future.",4 January 2020
30,"As I write this, I want to describe my raw initial state after I finished the film, I'm in a state of complete awe, staring into the wall kind of awe, Parasite is truly a work of art, a sheer masterpiece.
This film oozes with mastery, every little detail tells a story of its own, I was drawn to it like a moth to a flame, it grips hard and it never lets go, it sways between genres gracefully, it offers comedy both dark and light, drama, horror, thrill, and it's all packaged so seamlessly, conveyed to us throughout breathtaking performances across the board, I've watched my share of Korean Cinema to know that's a common thing but Parasite takes it to a whole other level, it materializes thoughts and ideas, things words can not communicate, it is extremely rare to experience such a thing in film, I can only name a small number of movies that actually made me feel this way, just incredible.
Director Bong Joon Ho proves that he is a master within his own cross-genre domain, he takes charge and you actually feel like you're in safe hands watching this, he shapes the scenes perfectly, A true master of his trade, Thank You.
In all honesty, I feel like I went through an experiment where the time went still and I experienced a piece of art such as this, I absloutely, wholeheartedly loved every single second of this film, MINDBLOWING.",26 November 2019
31,"This film shows humanity in all its glory. We can try to claim the rich are evil and the poor deserve better but these are delusions we create to make us feel better. People are terrible. They are selfish. They are greedy. They are unkind. It's part of human nature. No matter how much you have, or how little, humanity still exists, and humanity is the problem.All the problems in the world that make us suffer day to day are caused in the end because we are human. Nothing we can do about it.The movie was good. Lol.",14 January 2020
32,"Cinema at its best. Hi I'm Steffany. World Cinema has got to be apprecited. Enough of Titanics, and Avengers already!!",11 January 2020
33,"Great film-making with unique plot,starts slow but never boring,ending hits you like a hammer,solid ten out of ten from me,well done Bong joon ho and Kang ho song,everything you guys touch turns into gold.",11 February 2020
34,I'll keep this brief. This film is best enjoyed sans spoilers. Stellar cast-not one weak performance in this film. Superbly done.,30 January 2020
35,"This film is always one step ahead of its audience. You are so in tune with the protagonists that by the time they are neck deep into their futile grift, the question of who's right or who's wrong isn't so much as being poised by the master director Bong Joon-ho; it's being slammed over your head with a rock. And when you recover, and the audience claps, the answer still isn't clear.Parasite is deserving of all the massive praise it has received. That I saw this in a packed theater with an adoring, fully rapt crowd truly warmed my heart. It's cinema at its best.As many folks are noting, and I will reiterate: go into this cold! Read as little about it as possible if you can. It will make the experience so much better. This is one I know I will be revisiting often over the years. Enjoy it.",13 January 2020
36,"There I said it---It's the best film of the year for this reviewer, and it's the best film Bong Jong-ho has made to date.But to be fair, I've yet to see ""The Irishman,"" ""1917,"" and ""A Hidden Life,"" so my opinion could change. Though, I can't see that being likely.The originalness of ""Parasite"" is what sets it apart. ""Parasite,"" twists and turns to darker and darker places while still maintaining a comedic tone. There's ingenious visual cinematography and storytelling when it portrays the division of class between the wealthy and poor.Class inequality is a theme director Bong Joon-ho frequently uses. You observe it in his other films, ""Snowpiercer,"" ""Okja,"" and even in the first film I ever saw of his back in 2006 with Joon-ho's horror film, ""The Host."" Which also starred Kang-ho Song who plays, Kevin's father in ""Parasite."" He's hilariously witty in both films.""Parasite"" set in South Korea, is about a young man from an impoverished family, the Kims, who winds up with a job to tutor a high school girl from an extremely affluent family, the Parks. He changes his name from Kim Ki-woo to Kevin to impersonate an English tutor. He soon realizes this could be a way to get his whole family employment under the Parks, and the family makes it their plan to do-so.The film shined when it cinematically showed the differences between class equality among these two very different families. When we see the wealthy Park family, the house is pristinely clean. A complete contrast to the Kim family apartment, which is a basement apartment littered with trash and infested by stink bugs, in what looks to be one of the poorest sections of the city.If you like dark comedies, then you're sure to enjoy ""Parasite."" I've witnessed people who don't like foreign films because of subtitle-hatred still relish this film.You won't see another movie like ""Parasite,"" perhaps ever. Well done, Bong Joon-ho.",12 January 2020
37,"This is undoubtedly one of the best movies of the year and I think the best work of Bong Joon Ho yet. It's a very funny and playful movie. You can't pin it down into one specific genre, much like Bong Joon Ho's other work. Some moments are absurdly funny while others are intense.
The premise is about a poor family who lives in a small basement apartment and struggling in their everyday life. One day one of their family members gets a chance to work as an English tutor for the daughter of a wealthy family. The poor family sees this as an opportunity to scam this wealthy family and they find a way to all work for them. Things get more serious after the first half because some stuff happens and the poor family has to deal with it cautiously.
What is amazing about this movie is the story is simple and realistic, but told in such a fresh and unique way that it feels relatable and larger than life. The director shows the irony of life. How two separate classes of people in a society perceive things differently.
While watching the movie, it was so engaging that I felt like it was controlling me with its beautiful cinematography and well structured plot.",12 January 2020
38,"Parasite is a fantastic movie that features sympathetic, yet morally gray characters and their plight to earn enough money to live. Despite the awful things the characters do, you feel for each and every one of them thanks to the fantastic writing and acting. The humour is also fantastic and always lands. Seriously, despite being a drama, Parasite is one of the funniest movies I've seen all year. However, the reason why I can't say that Parasite is one of 2019's best movies is the ending. The ending is so anticlimactic, disappointing and dissatisfying. It didn't feel like that was what the film was building towards at all. However, I still recommend Parasite as it's mostly a fantastic experience that I just wish had a stronger conclusion.",8 February 2020
39,"This was one of my favourite films, great acting, I liked the characters and there was lots of suspense.",10 January 2020
